# DataSet FAZIAT2103
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/data/eindraX/fazia/FAZIAT2103/raw/
run=477 | starting date=Mon Apr 19 04:52:03 2021 | nfiles=10 | size(GB)=1.25
run=258 | starting date=Sun Apr 18 20:56:19 2021 | nfiles=10 | size(GB)=1.25
run=315 | starting date=Sun Apr 18 23:28:52 2021 | nfiles=10 | size(GB)=1.25
run=142 | starting date=Sun Apr 18 16:26:31 2021 | nfiles=10 | size(GB)=1.25
run=176 | starting date=Sun Apr 18 17:14:00 2021 | nfiles=10 | size(GB)=1.25
run=296 | starting date=Sun Apr 18 22:44:59 2021 | nfiles=10 | size(GB)=1.25
run=124 | starting date=Sun Apr 18 16:00:55 2021 | nfiles=10 | size(GB)=1.25
run=97 | starting date=Sun Apr 18 15:12:41 2021 | nfiles=10 | size(GB)=1.25
run=405 | starting date=Mon Apr 19 02:55:14 2021 | nfiles=10 | size(GB)=1.25
run=195 | starting date=Sun Apr 18 17:39:02 2021 | nfiles=10 | size(GB)=1.25
run=177 | starting date=Sun Apr 18 17:15:13 2021 | nfiles=10 | size(GB)=1.25
run=138 | starting date=Sun Apr 18 16:19:52 2021 | nfiles=10 | size(GB)=1.25
run=483 | starting date=Mon Apr 19 04:57:29 2021 | nfiles=10 | size(GB)=1.25
run=339 | starting date=Mon Apr 19 00:18:07 2021 | nfiles=10 | size(GB)=1.25
run=304 | starting date=Sun Apr 18 23:04:17 2021 | nfiles=10 | size(GB)=1.25
run=409 | starting date=Mon Apr 19 03:06:25 2021 | nfiles=10 | size(GB)=1.25
run=208 | starting date=Sun Apr 18 17:57:54 2021 | nfiles=10 | size(GB)=1.25
run=286 | starting date=Sun Apr 18 22:24:22 2021 | nfiles=10 | size(GB)=1.25
run=494 | starting date=Mon Apr 19 05:07:29 2021 | nfiles=10 | size(GB)=1.25
run=520 | starting date=Mon Apr 19 05:32:09 2021 | nfiles=10 | size(GB)=1.25
run=306 | starting date=Sun Apr 18 23:09:32 2021 | nfiles=10 | size(GB)=1.25
run=320 | starting date=Sun Apr 18 23:39:41 2021 | nfiles=10 | size(GB)=1.25
run=473 | starting date=Mon Apr 19 04:48:48 2021 | nfiles=10 | size(GB)=1.25
run=114 | starting date=Sun Apr 18 15:34:49 2021 | nfiles=10 | size(GB)=1.25
run=312 | starting date=Sun Apr 18 23:22:20 2021 | nfiles=10 | size(GB)=1.25
run=420 | starting date=Mon Apr 19 03:56:20 2021 | nfiles=10 | size(GB)=1.25
run=231 | starting date=Sun Apr 18 18:29:50 2021 | nfiles=10 | size(GB)=1.25
run=129 | starting date=Sun Apr 18 16:07:28 2021 | nfiles=10 | size(GB)=1.25
run=441 | starting date=Mon Apr 19 04:17:31 2021 | nfiles=10 | size(GB)=1.25
run=358 | starting date=Mon Apr 19 01:02:04 2021 | nfiles=10 | size(GB)=1.25
run=162 | starting date=Sun Apr 18 16:56:24 2021 | nfiles=10 | size(GB)=1.25
run=94 | starting date=Sun Apr 18 15:09:06 2021 | nfiles=10 | size(GB)=1.25
run=538 | starting date=Mon Apr 19 05:49:58 2021 | nfiles=10 | size(GB)=1.25
run=253 | starting date=Sun Apr 18 20:43:25 2021 | nfiles=10 | size(GB)=1.25
run=549 | starting date=Mon Apr 19 05:59:52 2021 | nfiles=10 | size(GB)=1.25
run=384 | starting date=Mon Apr 19 02:02:58 2021 | nfiles=10 | size(GB)=1.25
run=390 | starting date=Mon Apr 19 02:16:06 2021 | nfiles=10 | size(GB)=1.25
run=159 | starting date=Sun Apr 18 16:52:36 2021 | nfiles=10 | size(GB)=1.25
run=144 | starting date=Sun Apr 18 16:29:50 2021 | nfiles=10 | size(GB)=1.25
run=550 | starting date=Mon Apr 19 06:00:46 2021 | nfiles=1 | size(GB)=0.07
run=471 | starting date=Mon Apr 19 04:47:17 2021 | nfiles=10 | size(GB)=1.25
run=379 | starting date=Mon Apr 19 01:51:13 2021 | nfiles=10 | size(GB)=1.25
run=99 | starting date=Sun Apr 18 15:15:07 2021 | nfiles=10 | size(GB)=1.25
